Report Number,ACRS Report Type,Crash Date/Time,Weather,Light,Latitude,Longitude
MCP26560072,Injury Crash,8/10/2023 15:50,N/A,DAYLIGHT,39.15403667,-77.25183283
MCP26560072,Injury Crash,8/10/2023 15:50,N/A,DAYLIGHT,39.15403667,-77.25183283
MCP3339002D,Property Damage Crash,8/10/2023 8:46,CLOUDY,DAYLIGHT,39.10568417,-77.09159283
DD56120040,Property Damage Crash,8/10/2023 8:43,CLOUDY,DAYLIGHT,39.07629437,-77.13848849
DD56120040,Property Damage Crash,8/10/2023 8:43,CLOUDY,DAYLIGHT,39.07629437,-77.13848849
DD56120040,Property Damage Crash,8/10/2023 8:43,CLOUDY,DAYLIGHT,39.07629437,-77.13848849
DD559500DV,Injury Crash,8/10/2023 7:40,CLOUDY,DAYLIGHT,39.07561398,-77.1132104
EJ7898000P,Property Damage Crash,8/10/2023 7:20,CLEAR,DAYLIGHT,39.1300055,-77.22736824
EJ7898000P,Property Damage Crash,8/10/2023 7:20,CLEAR,DAYLIGHT,39.1300055,-77.22736824
MCP33730018,Injury Crash,8/9/2023 22:34,CLEAR,DARK LIGHTS ON,38.99753417,-77.0266715
MCP33730018,Injury Crash,8/9/2023 22:34,CLEAR,DARK LIGHTS ON,38.99753417,-77.0266715
MCP3080003M,Injury Crash,8/9/2023 20:53,CLEAR,DARK LIGHTS ON,39.1522787,-77.29605451
MCP3080003M,Injury Crash,8/9/2023 20:53,CLEAR,DARK LIGHTS ON,39.1522787,-77.29605451
MCP32250041,Property Damage Crash,8/9/2023 18:35,CLEAR,DAYLIGHT,39.109268,-77.078766
MCP32250041,Property Damage Crash,8/9/2023 18:35,CLEAR,DAYLIGHT,39.109268,-77.078766
MCP32250041,Property Damage Crash,8/9/2023 18:35,CLEAR,DAYLIGHT,39.109268,-77.078766
MCP32960020,Injury Crash,8/9/2023 17:47,CLEAR,DAYLIGHT,39.08440583,-76.94118217
MCP3080003L,Injury Crash,8/9/2023 17:26,CLEAR,DAYLIGHT,39.15896942,-77.27528488
MCP3080003L,Injury Crash,8/9/2023 17:26,CLEAR,DAYLIGHT,39.15896942,-77.27528488
MCP3080003L,Injury Crash,8/9/2023 17:26,CLEAR,DAYLIGHT,39.15896942,-77.27528488
MCP2586006D,Property Damage Crash,8/9/2023 17:22,CLEAR,DAYLIGHT,39.18268987,-77.2550729
MCP2586006D,Property Damage Crash,8/9/2023 17:22,CLEAR,DAYLIGHT,39.18268987,-77.2550729
MCP2722004T,Property Damage Crash,8/9/2023 16:04,N/A,DAYLIGHT,39.09397417,-77.06873083
DD5612003Z,Injury Crash,8/9/2023 13:37,CLEAR,DAYLIGHT,39.09082052,-77.17911591
DD5612003Z,Injury Crash,8/9/2023 13:37,CLEAR,DAYLIGHT,39.09082052,-77.17911591
DD5612003Z,Injury Crash,8/9/2023 13:37,CLEAR,DAYLIGHT,39.09082052,-77.17911591
