Driver Substance Abuse,Person ID,Injury Severity
N/A,7ECFB607-0737-496C-96BC-A9E81B2FEC8B,NO APPARENT INJURY
N/A,3721CC38-C4BE-4E41-A451-756896E66CD1,POSSIBLE INJURY
NONE DETECTED,886E9947-71E2-4240-B8CA-5CF1D49A9882,NO APPARENT INJURY
NONE DETECTED,CE687262-A7CA-4139-8C7A-F5FF50C1759C,NO APPARENT INJURY
NONE DETECTED,11508559-3C26-4CB0-AD7B-D74805ABB433,NO APPARENT INJURY
NONE DETECTED,972C36B4-CCF4-4538-B923-5B14D33FF8F1,NO APPARENT INJURY
NONE DETECTED,2EB89AE3-70B8-4B03-96D1-EBA642F54EE8,SUSPECTED MINOR INJURY
NONE DETECTED,D424DF1F-E833-4FE2-941F-682E9304E53C,NO APPARENT INJURY
UNKNOWN,250719E4-FD1F-4B30-991B-C937351B630D,NO APPARENT INJURY
NONE DETECTED,30438735-FD65-4650-9EDE-F58A79D4D625,NO APPARENT INJURY
NONE DETECTED,F816B703-B2A6-4375-AB98-C186BB29B567,NO APPARENT INJURY
N/A,164E42C9-0C66-4E00-9AEA-3DF7D77EA094,POSSIBLE INJURY
N/A,E1D6DC43-C878-44BD-A947-CCB3EA3658A4,POSSIBLE INJURY
NONE DETECTED,59D03C99-99E5-44B3-94F9-3A72863D17DE,NO APPARENT INJURY
NONE DETECTED,7C8660BF-BBC9-4EA2-A7D8-B8C4B81BF434,NO APPARENT INJURY
NONE DETECTED,50D2628C-081E-4CFD-9351-C53A11DD0D3C,NO APPARENT INJURY
NONE DETECTED,0AC4BA70-3088-4562-A3CD-5E59BBA3344E,POSSIBLE INJURY
N/A,D8741B47-C390-41BC-931C-D82EE5F363FB,NO APPARENT INJURY
N/A,E8D2FC66-1E8F-4A8C-B04E-3FCA334FCC92,NO APPARENT INJURY
N/A,108E975A-DC74-4053-B03F-2B809494B900,POSSIBLE INJURY
NONE DETECTED,4F398F46-85E4-4661-A217-4CBF32D1AB06,NO APPARENT INJURY
NONE DETECTED,A7CDA353-6C10-4716-A476-BBE8D4E7EDFB,NO APPARENT INJURY
NONE DETECTED,18DFB72F-CB91-4BFC-A73B-05447D0908E6,NO APPARENT INJURY
NONE DETECTED,BA40FFB9-F912-47C4-981B-118CFD3147D4,NO APPARENT INJURY
NONE DETECTED,D593C942-3F60-4A87-8590-0ECFA8E81523,POSSIBLE INJURY
NONE DETECTED,89AA3C8F-1520-4285-B3CD-E8A3A190B72D,NO APPARENT INJURY
NONE DETECTED,B5DA3836-5BE2-4F35-A9FB-526435794F8D,NO APPARENT INJURY
NONE DETECTED,30DC2E8B-3125-4215-AB7C-27DAA7555FC2,NO APPARENT INJURY
NONE DETECTED,4669FD40-F541-4313-B847-ED0C292DCB19,NO APPARENT INJURY
N/A,C07F63EA-83F6-49E8-8131-A21671CBF55E,NO APPARENT INJURY
NONE DETECTED,62E22BF2-FDB3-4561-9BCC-059FF2F16FD7,POSSIBLE INJURY
NONE DETECTED,E9CD4528-37D4-4511-9039-5763F541AE59,POSSIBLE INJURY
NONE DETECTED,B1AFD07C-CDB1-4022-9BE4-4D66AE8C2B22,NO APPARENT INJURY
NONE DETECTED,ECFFD627-BDDE-4612-BD30-06893282E0FF,NO APPARENT INJURY
NONE DETECTED,C2D3F5EA-66A9-4BE9-871F-A3585F009835,SUSPECTED MINOR INJURY
NONE DETECTED,2A584B4C-C7AB-4CED-988F-21AF4CB4B68C,NO APPARENT INJURY
NONE DETECTED,D860B7DC-E2BE-4051-9A70-B81A0CC78065,NO APPARENT INJURY
NONE DETECTED,3DE68C3C-F69A-4D2D-918B-3F556F42ED03,NO APPARENT INJURY
NONE DETECTED,603BBC92-C23E-4424-AB04-9B2765AEE70A,SUSPECTED MINOR INJURY
NONE DETECTED,5066D91D-267E-4D80-ACD8-531B340FB3F1,POSSIBLE INJURY
ALCOHOL PRESENT,FE4B01F0-C0FE-43C5-8354-94DB8A54401F,NO APPARENT INJURY
UNKNOWN,E207EC4B-7521-463B-80A6-630FA17B73CD,NO APPARENT INJURY
N/A,F1B61D81-504F-4D88-B787-A8019815016B,NO APPARENT INJURY
NONE DETECTED,AAFBCA77-2240-49B7-BADC-161C10DBDCFF,NO APPARENT INJURY
NONE DETECTED,80351503-5D2A-467E-BDF5-985C3FDCDB52,POSSIBLE INJURY
UNKNOWN,A24B76FD-2D71-4180-831B-4B698B310587,NO APPARENT INJURY
NONE DETECTED,59E71B34-F8E8-4266-8A79-3EAB31BE5038,NO APPARENT INJURY
NONE DETECTED,42FF903C-80DC-4E9C-9DA2-82127AB8C9D5,POSSIBLE INJURY
N/A,C99B1235-89D0-4EED-B264-F435C21031FD,NO APPARENT INJURY
NONE DETECTED,56589137-3CD4-4FBE-A43B-61F720A645F9,NO APPARENT INJURY
NONE DETECTED,1558331C-5754-4DED-B55F-1F22C4BE45A4,POSSIBLE INJURY
NONE DETECTED,2BF2AD39-24A3-4C41-B8B2-BA0428AF35F0,POSSIBLE INJURY
NONE DETECTED,093CE0D7-4628-451F-99E9-E68030D16FE1,NO APPARENT INJURY
NONE DETECTED,4F0E1849-D580-49BE-A41E-E5958377E6BF,NO APPARENT INJURY
NONE DETECTED,00BE0228-591F-4977-A391-B3DD82B66A24,NO APPARENT INJURY
N/A,34375210-CE55-46E7-AAE5-DC660B6B080B,NO APPARENT INJURY
NONE DETECTED,6986BE63-C56A-4DA9-907E-EDA1EC01554B,NO APPARENT INJURY
NONE DETECTED,104D0AB6-F799-467E-A594-2C787A510C6F,NO APPARENT INJURY
N/A,33C2CC80-0109-4116-9E48-331AF01930C8,NO APPARENT INJURY
N/A,C413E6CE-1B0F-4FAC-994E-B2DC06CD937E,NO APPARENT INJURY
NONE DETECTED,84BB6A0A-371B-4360-943E-C3139E96C320,POSSIBLE INJURY
NONE DETECTED,6A73EF59-AFC2-4F8E-9AEB-9C101CEBFCFB,NO APPARENT INJURY
N/A,00FBC276-1D1E-403F-A2BE-D4DB9AF50F25,NO APPARENT INJURY
NONE DETECTED,E3AECECD-1C64-4478-BCEF-E4D7CBA4274F,NO APPARENT INJURY
NONE DETECTED,BB069734-6A93-4CFE-94B5-742CB5136912,NO APPARENT INJURY
NONE DETECTED,663D3101-B176-419B-8491-53E5B2F32A73,NO APPARENT INJURY
NONE DETECTED,5276A25D-5576-43A0-9778-8BA03676CBAA,NO APPARENT INJURY
UNKNOWN,B4BB09A6-C1BF-46E7-A7BA-A5BD3801256F,SUSPECTED MINOR INJURY
UNKNOWN,62FAE9FD-3454-419B-AC9F-712CD977D2E0,NO APPARENT INJURY
