Crash Date/Time,Weather,Latitude,Longitude,Vehicle Damage Extent,Vehicle Year,Vehicle Make,Vehicle Model,Driver Substance Abuse,Injury Severity
8/10/2023 15:50,N/A,39.15403667,-77.25183283,DISABLING,2018,BMW,PC,N/A,NO APPARENT INJURY
8/10/2023 15:50,N/A,39.15403667,-77.25183283,SUPERFICIAL,2014,TOYOTA,PRIUS,N/A,POSSIBLE INJURY
8/10/2023 8:46,CLOUDY,39.10568417,-77.09159283,DISABLING,2022,HONDA,CRV,NONE DETECTED,NO APPARENT INJURY
8/10/2023 8:43,CLOUDY,39.07629437,-77.13848849,FUNCTIONAL,2021,HOND,SD,NONE DETECTED,NO APPARENT INJURY
8/10/2023 8:43,CLOUDY,39.07629437,-77.13848849,DISABLING,2016,LEXUS,SD,NONE DETECTED,NO APPARENT INJURY
8/10/2023 8:43,CLOUDY,39.07629437,-77.13848849,FUNCTIONAL,2014,FORD,UT,NONE DETECTED,NO APPARENT INJURY
8/10/2023 7:40,CLOUDY,39.07561398,-77.1132104,DISABLING,2016,FORD,F150,NONE DETECTED,SUSPECTED MINOR INJURY
8/10/2023 7:20,CLEAR,39.1300055,-77.22736824,SUPERFICIAL,2023,HYUN,ELANTRA,NONE DETECTED,NO APPARENT INJURY
8/10/2023 7:20,CLEAR,39.1300055,-77.22736824,UNKNOWN,2023,BMW,NA,UNKNOWN,NO APPARENT INJURY
8/9/2023 22:34,CLEAR,38.99753417,-77.0266715,DISABLING,2012,TOYOTA,HB,NONE DETECTED,NO APPARENT INJURY
8/9/2023 22:34,CLEAR,38.99753417,-77.0266715,FUNCTIONAL,2023,SUBARU,WRX,NONE DETECTED,NO APPARENT INJURY
8/9/2023 20:53,CLEAR,39.1522787,-77.29605451,DISABLING,2016,HONDA,ACCORD,N/A,POSSIBLE INJURY
8/9/2023 20:53,CLEAR,39.1522787,-77.29605451,DISABLING,2009,TOYT,SD,N/A,POSSIBLE INJURY
8/9/2023 18:35,CLEAR,39.109268,-77.078766,FUNCTIONAL,2007,TOYOTA,CAMRY,NONE DETECTED,NO APPARENT INJURY
8/9/2023 18:35,CLEAR,39.109268,-77.078766,FUNCTIONAL,2017,CHEVROLET,TAHOE,NONE DETECTED,NO APPARENT INJURY
8/9/2023 18:35,CLEAR,39.109268,-77.078766,DISABLING,2015,TOYOTA,CAMRY,NONE DETECTED,NO APPARENT INJURY
8/9/2023 17:47,CLEAR,39.08440583,-76.94118217,DISABLING,2011,TOYT,CAMRY,NONE DETECTED,POSSIBLE INJURY
8/9/2023 17:26,CLEAR,39.15896942,-77.27528488,FUNCTIONAL,2017,FORD,TK,N/A,NO APPARENT INJURY
8/9/2023 17:26,CLEAR,39.15896942,-77.27528488,FUNCTIONAL,2023,CHRYSLER,300,N/A,NO APPARENT INJURY
8/9/2023 17:26,CLEAR,39.15896942,-77.27528488,FUNCTIONAL,2021,HOND,UT,N/A,POSSIBLE INJURY
8/9/2023 17:22,CLEAR,39.18268987,-77.2550729,SUPERFICIAL,2013,TOYOTA,HIGHLANDER,NONE DETECTED,NO APPARENT INJURY
8/9/2023 17:22,CLEAR,39.18268987,-77.2550729,DISABLING,2019,DODGE,CHARGER,NONE DETECTED,NO APPARENT INJURY
8/9/2023 16:04,N/A,39.09397417,-77.06873083,FUNCTIONAL,2016,FRHT,AM,NONE DETECTED,NO APPARENT INJURY
8/9/2023 13:37,CLEAR,39.09082052,-77.17911591,FUNCTIONAL,2016,JEEP,UT,NONE DETECTED,NO APPARENT INJURY
8/9/2023 13:37,CLEAR,39.09082052,-77.17911591,FUNCTIONAL,2006,HOND,SD,NONE DETECTED,POSSIBLE INJURY
8/9/2023 13:37,CLEAR,39.09082052,-77.17911591,FUNCTIONAL,2015,TOYT,VN,NONE DETECTED,NO APPARENT INJURY
8/9/2023 13:37,CLEAR,39.09082052,-77.17911591,DISABLING,2021,TOYT,PV,NONE DETECTED,NO APPARENT INJURY
8/9/2023 11:04,CLEAR,39.09763867,-77.10577067,FUNCTIONAL,2019,NISSAN,VERSA,NONE DETECTED,NO APPARENT INJURY
8/9/2023 11:04,CLEAR,39.09763867,-77.10577067,DISABLING,2012,MERCEDES,ML 350,NONE DETECTED,NO APPARENT INJURY
8/9/2023 10:01,N/A,39.10661233,-77.26357183,NO DAMAGE,2007,TOYOTA,CAMRY,N/A,NO APPARENT INJURY
8/9/2023 9:23,CLEAR,39.02288667,-77.13226167,DISABLING,2012,NISSAN,VERSA,NONE DETECTED,POSSIBLE INJURY
8/9/2023 9:23,CLEAR,39.02288667,-77.13226167,DISABLING,2013,JEEP,CHEROKEE,NONE DETECTED,POSSIBLE INJURY
8/9/2023 8:47,CLEAR,39.117035,-77.16878833,FUNCTIONAL,2015,TOYT,SD,NONE DETECTED,NO APPARENT INJURY
8/9/2023 8:47,CLEAR,39.117035,-77.16878833,DISABLING,2018,HYUN,4S,NONE DETECTED,NO APPARENT INJURY
8/9/2023 7:04,CLEAR,38.99272041,-76.99138458,DISABLING,2016,HONDA,CRV,NONE DETECTED,SUSPECTED MINOR INJURY
8/9/2023 7:04,CLEAR,38.99272041,-76.99138458,FUNCTIONAL,2008,FORD,E250,NONE DETECTED,NO APPARENT INJURY
8/8/2023 21:14,CLEAR,39.16345667,-77.28291,DISABLING,2017,VOLK,SW,NONE DETECTED,NO APPARENT INJURY
8/8/2023 21:14,CLEAR,39.16345667,-77.28291,DISABLING,2023,HYUNDAI,ELANTRA,NONE DETECTED,NO APPARENT INJURY
8/8/2023 21:14,CLEAR,39.16345667,-77.28291,SUPERFICIAL,2022,TOYOTA,COROLLA,NONE DETECTED,SUSPECTED MINOR INJURY
8/8/2023 18:47,CLEAR,39.07580152,-77.00095688,FUNCTIONAL,2015,JEEP,GRAND CHEROKEE LAREDO,NONE DETECTED,POSSIBLE INJURY
8/8/2023 18:47,CLEAR,39.07580152,-77.00095688,FUNCTIONAL,2009,LEXUS,ES350,ALCOHOL PRESENT,NO APPARENT INJURY
8/8/2023 18:40,CLEAR,39.03320183,-77.04879733,FUNCTIONAL,2023,UNKNOWN,UNKNOWN,UNKNOWN,NO APPARENT INJURY
8/8/2023 18:40,CLEAR,39.03320183,-77.04879733,FUNCTIONAL,2017,ACUR,ILX,N/A,NO APPARENT INJURY
8/8/2023 17:30,CLEAR,39.12281667,-77.17792667,DISABLING,2020,TOYOTA,TAKOMA,NONE DETECTED,NO APPARENT INJURY
8/8/2023 17:30,CLEAR,39.12281667,-77.17792667,DISABLING,2015,KIA,OPTIMA,NONE DETECTED,POSSIBLE INJURY
8/8/2023 17:02,CLEAR,39.14658767,-77.20356783,FUNCTIONAL,2004,BMW,4S,UNKNOWN,NO APPARENT INJURY
8/8/2023 17:02,CLEAR,39.14658767,-77.20356783,FUNCTIONAL,2019,HYUN,UT,NONE DETECTED,NO APPARENT INJURY
8/8/2023 16:58,N/A,39.12473,-77.24711333,DISABLING,2018,TOYOTA,RAV4,NONE DETECTED,POSSIBLE INJURY
8/8/2023 16:58,N/A,39.12473,-77.24711333,DISABLING,2022,TOYOTA,TACOMA,N/A,NO APPARENT INJURY
8/8/2023 13:45,CLOUDY,39.15287167,-77.39053433,DESTROYED,2012,ACURA,TL,NONE DETECTED,NO APPARENT INJURY
8/8/2023 13:45,CLOUDY,39.15287167,-77.39053433,DESTROYED,2017,FORD,EXPLORER,NONE DETECTED,POSSIBLE INJURY
8/8/2023 12:38,CLOUDY,39.11752117,-77.16966667,FUNCTIONAL,2017,INFINITI,QX50,NONE DETECTED,POSSIBLE INJURY
8/8/2023 12:38,CLOUDY,39.11752117,-77.16966667,FUNCTIONAL,2022,CHEVROLET,SPARK,NONE DETECTED,NO APPARENT INJURY
8/8/2023 12:38,CLOUDY,39.11752117,-77.16966667,FUNCTIONAL,2001,GMC,SAVANNA,NONE DETECTED,NO APPARENT INJURY
8/8/2023 12:15,CLEAR,38.99587749,-77.02773756,SUPERFICIAL,2011,GILLIG,LOW FLOOR BUS,NONE DETECTED,NO APPARENT INJURY
8/8/2023 12:15,CLEAR,38.99587749,-77.02773756,N/A,0,UNKNOWN,UNKNOWN,N/A,NO APPARENT INJURY
8/8/2023 11:39,CLEAR,38.99924972,-76.99683328,SUPERFICIAL,2021,DODGE,RAM PROMASTER,NONE DETECTED,NO APPARENT INJURY
8/8/2023 11:39,CLEAR,38.99924972,-76.99683328,SUPERFICIAL,2012,GILLIG,BUS,NONE DETECTED,NO APPARENT INJURY
8/8/2023 11:30,CLEAR,39.17488736,-77.26533824,SUPERFICIAL,2011,CHEVY,4DOOR,N/A,NO APPARENT INJURY
8/8/2023 11:30,CLEAR,39.17488736,-77.26533824,SUPERFICIAL,2019,FORD,EXPLORER,N/A,NO APPARENT INJURY
8/8/2023 8:49,CLEAR,39.01346,-77.04802833,DISABLING,2014,TOYOTA,RAV4,NONE DETECTED,POSSIBLE INJURY
8/8/2023 8:49,CLEAR,39.01346,-77.04802833,SUPERFICIAL,2013,TOYOTA,COROLLA,NONE DETECTED,NO APPARENT INJURY
8/8/2023 8:49,CLEAR,39.01346,-77.04802833,FUNCTIONAL,2014,TOYOTA,CAMRRY,N/A,NO APPARENT INJURY
8/8/2023 8:49,CLEAR,39.01346,-77.04802833,DISABLING,2019,FORD,VN,NONE DETECTED,NO APPARENT INJURY
