Vehicle ID,Vehicle Damage Extent,Vehicle Body Type,Vehicle Year,Vehicle Make,Vehicle Model
4CB3420B-B965-4BCE-9AF5-44D76CECD457,DISABLING,PASSENGER CAR,2018,BMW,PC
4D622EB4-BC7D-4AA4-BCD3-DE812BFBA2F7,SUPERFICIAL,PASSENGER CAR,2014,TOYOTA,PRIUS
164F9649-0354-49C2-9141-E16491F507F6,DISABLING,(SPORT) UTILITY VEHICLE,2022,HONDA,CRV
FB647AB9-D7FA-4942-B849-6FAFDAC84BE9,FUNCTIONAL,PASSENGER CAR,2021,HOND,SD
0BB5A75B-5701-41BD-B840-F0A922422FF1,DISABLING,PASSENGER CAR,2016,LEXUS,SD
B5646C29-C163-4EBD-8E49-7BC065B522B0,FUNCTIONAL,PASSENGER CAR,2014,FORD,UT
948F9896-983A-4223-878B-778451CF11AE,DISABLING,PASSENGER CAR,2016,FORD,F150
5C857FF9-6D3C-4580-9183-3564B92F75E7,SUPERFICIAL,PASSENGER CAR,2023,HYUN,ELANTRA
17C52C56-A4CF-4C82-A5B7-BAD58B985455,UNKNOWN,PASSENGER CAR,2023,BMW,NA
2E31F5BA-090C-4804-85A9-F12D801BA035,DISABLING,PASSENGER CAR,2012,TOYOTA,HB
429CE50A-91EE-4C4F-9037-D66776F3D807,FUNCTIONAL,PASSENGER CAR,2023,SUBARU,WRX
00166336-FA07-4E4F-AD2E-192936A47650,DISABLING,PASSENGER CAR,2016,HONDA,ACCORD
94368AD0-92DA-4949-9D73-A1067788CA02,DISABLING,PASSENGER CAR,2009,TOYT,SD
DD4F42B5-8E05-4312-BE89-33005562771B,FUNCTIONAL,PASSENGER CAR,2007,TOYOTA,CAMRY
DA150BBE-2388-4A36-86DE-6B2073BF2D1E,FUNCTIONAL,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",2017,CHEVROLET,TAHOE
857E3DE7-2433-42F1-B34D-1BDEFEE3BE66,DISABLING,PASSENGER CAR,2015,TOYOTA,CAMRY
63879757-7FCE-4294-8B0C-0D26A99ABA3C,DISABLING,PASSENGER CAR,2011,TOYT,CAMRY
7D3E6593-909D-4945-A05D-476CE01E7FFB,FUNCTIONAL,PASSENGER CAR,2017,FORD,TK
E24FAC2A-321F-43D6-AC9E-AC6E837F5075,FUNCTIONAL,PASSENGER CAR,2023,CHRYSLER,300
09917146-744E-4D5F-AD8A-D1644B476E3F,FUNCTIONAL,PASSENGER CAR,2021,HOND,UT
C23ACD10-09D4-4141-9B25-B0B71320D6E3,SUPERFICIAL,(SPORT) UTILITY VEHICLE,2013,TOYOTA,HIGHLANDER
440A3F60-4EB8-4499-B20A-101F4746C1AE,DISABLING,POLICE VEHICLE/NON EMERGENCY,2019,DODGE,CHARGER
89B3493E-105B-4E2F-817D-121C2BAFAA1B,FUNCTIONAL,AMBULANCE/NON EMERGENCY,2016,FRHT,AM
79DDDF73-9B3C-4A6A-92C9-B8BC953BEAAC,FUNCTIONAL,PASSENGER CAR,2016,JEEP,UT
DE60E33F-40D0-4567-82DB-9764DC6FDA8A,FUNCTIONAL,PASSENGER CAR,2006,HOND,SD
CC492C74-1352-4AC2-A91E-0A898E06DE3B,FUNCTIONAL,PASSENGER CAR,2015,TOYT,VN
196B84A7-D1BF-48E8-9777-2654A802B0DE,DISABLING,PASSENGER CAR,2021,TOYT,PV
14C74CEE-A4AA-4AF1-8543-F8268042A3BB,FUNCTIONAL,PASSENGER CAR,2019,NISSAN,VERSA
43C825DC-1C2E-48DC-AC39-0EA7F5950603,DISABLING,(SPORT) UTILITY VEHICLE,2012,MERCEDES,ML 350
B57D26F3-215C-4129-AE49-FAC8835914C0,NO DAMAGE,PASSENGER CAR,2007,TOYOTA,CAMRY
E694A577-C880-48E9-BAC8-56CD49F25693,DISABLING,PASSENGER CAR,2012,NISSAN,VERSA
A4950F32-D751-426E-8F0B-9EBE1EA82545,DISABLING,(SPORT) UTILITY VEHICLE,2013,JEEP,CHEROKEE
A82989EC-8464-4D73-AFBA-1A55B04C1242,FUNCTIONAL,PASSENGER CAR,2015,TOYT,SD
07349CFA-FB08-4B6A-B569-EA75ACEBDBF5,DISABLING,PASSENGER CAR,2018,HYUN,4S
2DB4192F-6ED4-44EB-B859-CBF5EC43D348,DISABLING,(SPORT) UTILITY VEHICLE,2016,HONDA,CRV
ECDC09E6-BD33-4FFA-929D-B0BA500D4875,FUNCTIONAL,VAN,2008,FORD,E250
573DF70C-7BFE-40EE-AEB9-E242481407E3,DISABLING,PASSENGER CAR,2017,VOLK,SW
8C714FFD-D761-4725-9356-1614E733A73D,DISABLING,PASSENGER CAR,2023,HYUNDAI,ELANTRA
CE1B32F0-3091-4FD9-97A5-B3F0FA32D21A,SUPERFICIAL,PASSENGER CAR,2022,TOYOTA,COROLLA
264DC3B7-14DF-445F-9323-DAD70087AD98,FUNCTIONAL,PASSENGER CAR,2015,JEEP,GRAND CHEROKEE LAREDO
919F2896-CB94-4427-9418-212435F206B6,FUNCTIONAL,PASSENGER CAR,2009,LEXUS,ES350
3301E52E-DB05-40C4-BF17-E8043E1E18A5,FUNCTIONAL,UNKNOWN,2023,UNKNOWN,UNKNOWN
6D918C4E-1AA6-4395-AC53-EECF1770AF3E,FUNCTIONAL,PASSENGER CAR,2017,ACUR,ILX
DFC496DC-24B5-40EF-AAC8-C8F07FC12B04,DISABLING,PASSENGER CAR,2020,TOYOTA,TAKOMA
6F779180-3C15-4B11-BCB6-B85804566C8E,DISABLING,POLICE VEHICLE/EMERGENCY,2015,KIA,OPTIMA
D42F9C8A-D47E-45B4-ADEE-8A4990D82E11,FUNCTIONAL,PASSENGER CAR,2004,BMW,4S
E2A99241-FCBC-4DE2-AA34-EF56CC16883C,FUNCTIONAL,PASSENGER CAR,2019,HYUN,UT
A1B583E9-14A0-4933-9858-DBEFA9BDE757,DISABLING,(SPORT) UTILITY VEHICLE,2018,TOYOTA,RAV4
38B9775B-DA21-41C3-BE43-89E8F7BD670D,DISABLING,PICKUP TRUCK,2022,TOYOTA,TACOMA
2A75A043-7270-4D5B-945F-FC71F0D46E2C,DESTROYED,PASSENGER CAR,2012,ACURA,TL
E8B2D325-5E3B-405A-96DD-0F8B136773CB,DESTROYED,(SPORT) UTILITY VEHICLE,2017,FORD,EXPLORER
7216D7C5-FC1E-43C2-9520-77B0154928EF,FUNCTIONAL,(SPORT) UTILITY VEHICLE,2017,INFINITI,QX50
A9D68218-6325-4474-A5FA-48F3D6EE3E9F,FUNCTIONAL,PASSENGER CAR,2022,CHEVROLET,SPARK
F91A62EF-6F3A-4E25-9C22-B5D189CF465D,FUNCTIONAL,VAN,2001,GMC,SAVANNA
EF6F42A8-33CE-4A42-BE7A-A0F68E00FA54,SUPERFICIAL,TRANSIT BUS,2011,GILLIG,LOW FLOOR BUS
65DF9891-C659-46D6-9A2D-D1CC05B238D8,N/A,,0,UNKNOWN,UNKNOWN
A096AC2A-B5C4-4FA5-BA55-68630B79F9DE,SUPERFICIAL,VAN,2021,DODGE,RAM PROMASTER
EBA30B55-D2F4-48FE-91EE-9878E9A4CC71,SUPERFICIAL,TRANSIT BUS,2012,GILLIG,BUS
DD9F1226-C30C-436B-B5F8-5E5DF3CF5AFD,SUPERFICIAL,PASSENGER CAR,2011,CHEVY,4DOOR
0A4EAE4F-4003-4D43-AAEF-C18F0694C645,SUPERFICIAL,POLICE VEHICLE/NON EMERGENCY,2019,FORD,EXPLORER
51A8FD69-A820-4E48-9B7A-7870DED1C020,DISABLING,(SPORT) UTILITY VEHICLE,2014,TOYOTA,RAV4
CD0C8209-3F16-462E-B9DB-BA8ED1C45847,SUPERFICIAL,PASSENGER CAR,2013,TOYOTA,COROLLA
88D02E4B-93BC-48D9-9B44-B4381939B800,FUNCTIONAL,PASSENGER CAR,2014,TOYOTA,CAMRRY
B17BEA19-74A8-4E7B-B56D-21932E20D12F,DISABLING,VAN,2019,FORD,VN
